sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,4.97886040946,,,2019_Feb_01_1410,59.8950704565,English,001,r11,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,0,0,2,,,3,9.897,2019_Feb_01_1410,59.8950704565,English,001,r11,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,1,1,29,,,3,8.231,2019_Feb_01_1410,59.8950704565,English,001,r11,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,2,2,27,,,2,7.359,2019_Feb_01_1410,59.8950704565,English,001,r11,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,3,3,9,,,4,8.25,2019_Feb_01_1410,59.8950704565,English,001,r11,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,4,4,8,,,4,9.08,2019_Feb_01_1410,59.8950704565,English,001,r11,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,5,5,16,,,2,10.206,2019_Feb_01_1410,59.8950704565,English,001,r11,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,6,6,0,,,1,8.185,2019_Feb_01_1410,59.8950704565,English,001,r11,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,7,7,14,,,4,16.118,2019_Feb_01_1410,59.8950704565,English,001,r11,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,8,8,17,,,2,8.589,2019_Feb_01_1410,59.8950704565,English,001,r11,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,9,9,10,,,4,9.058,2019_Feb_01_1410,59.8950704565,English,001,r11,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,10,10,7,,,4,8.778,2019_Feb_01_1410,59.8950704565,English,001,r11,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,11,11,18,,,2,8.61,2019_Feb_01_1410,59.8950704565,English,001,r11,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,12,12,24,,,5,9.946,2019_Feb_01_1410,59.8950704565,English,001,r11,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,13,13,15,,,1,7.458,2019_Feb_01_1410,59.8950704565,English,001,r11,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,14,14,6,,,1,7.097,2019_Feb_01_1410,59.8950704565,English,001,r11,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,15,15,26,,,1,8.467,2019_Feb_01_1410,59.8950704565,English,001,r11,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,16,16,3,,,6,7.911,2019_Feb_01_1410,59.8950704565,English,001,r11,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,17,17,12,,,4,9.438,2019_Feb_01_1410,59.8950704565,English,001,r11,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,18,18,23,,,2,8.302,2019_Feb_01_1410,59.8950704565,English,001,r11,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,19,19,19,,,2,11.696,2019_Feb_01_1410,59.8950704565,English,001,r11,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,20,20,11,,,2,7.805,2019_Feb_01_1410,59.8950704565,English,001,r11,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,21,21,13,,,1,8.293,2019_Feb_01_1410,59.8950704565,English,001,r11,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,22,22,28,,,4,7.184,2019_Feb_01_1410,59.8950704565,English,001,r11,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,23,23,5,,,5,8.302,2019_Feb_01_1410,59.8950704565,English,001,r11,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,24,24,25,,,2,8.72,2019_Feb_01_1410,59.8950704565,English,001,r11,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,25,25,1,,,5,8.1,2019_Feb_01_1410,59.8950704565,English,001,r11,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,26,26,21,,,4,9.365,2019_Feb_01_1410,59.8950704565,English,001,r11,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,27,27,4,,,1,7.704,2019_Feb_01_1410,59.8950704565,English,001,r11,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,28,28,22,,,3,7.753,2019_Feb_01_1410,59.8950704565,English,001,r11,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,29,29,20,,,3,8.325,2019_Feb_01_1410,59.8950704565,English,001,r11,
